fecha,dia_semana,mes,anio,es_fin_semana,es_feriado,franja_horaria,hora_inicio,hora_fin,producto,categoria,cantidad_vendida,precio_unitario,total_venta,canal_venta,promocion_activa,tipo_promocion,descuento_pct,clima,temperatura,lluvia,personal_disponible,tiempo_preparacion_min,stock_disponible,porcentaje_delivery
2024-01-02,Martes,1,2024,0,0,Cena,18,22,Jugo Natural,Bebidas,27,6.0,162.0,Delivery,No,Ninguna,0,Soleado,27,0,5,5,51,53
2024-01-02,Martes,1,2024,0,0,Cena,18,22,Salchipapa Clásica,Salchipapas,21,10.0,210.0,Web,No,Ninguna,0,Soleado,27,0,5,13,27,46
2024-01-02,Martes,1,2024,0,0,Cena,18,22,Hamburguesa Clásica,Hamburguesas,24,12.0,244.8,Presencial,Sí,2x1,15,Soleado,27,0,5,13,56,47
2024-01-02,Martes,1,2024,0,0,Cena,18,22,Hamburguesa BBQ,Hamburguesas,20,16.0,320.0,Web,No,Ninguna,0,Soleado,27,0,5,8,44,43
2024-01-02,Martes,1,2024,0,0,Cena,18,22,Alitas BBQ,Pollos,24,20.0,384.0,Delivery,Sí,2x1,20,Soleado,27,0,5,14,50,51
2024-01-03,Miércoles,1,2024,0,0,Desayuno,7,11,Hamburguesa Clásica,Hamburguesas,17,12.0,163.2,Delivery,Sí,Combo,20,Soleado,30,0,2,9,36,18
2024-01-03,Miércoles,1,2024,0,0,Desayuno,7,11,Sándwich de Pollo,Sándwiches,7,11.0,77.0,Presencial,No,Ninguna,0,Soleado,30,0,2,7,20,19
2024-01-03,Miércoles,1,2024,0,0,Desayuno,7,11,Gaseosa,Bebidas,14,4.0,56.0,Presencial,No,Ninguna,0,Soleado,30,0,2,3,74,13
2024-01-03,Miércoles,1,2024,0,0,Desayuno,7,11,Pizza Familiar,Pizzas,6,32.0,192.0,Presencial,No,Ninguna,0,Soleado,30,0,2,19,16,18
2024-01-03,Miércoles,1,2024,0,0,Almuerzo,12,16,Salchipapa Clásica,Salchipapas,21,10.0,210.0,Delivery,No,Ninguna,0,Soleado,30,0,5,12,37,36
2024-01-03,Miércoles,1,2024,0,0,Almuerzo,12,16,Gaseosa,Bebidas,34,4.0,136.0,Web,No,Ninguna,0,Soleado,30,0,5,2,71,26
2024-01-03,Miércoles,1,2024,0,0,Almuerzo,12,16,Pollo Broaster,Pollos,32,18.0,576.0,Web,No,Ninguna,0,Soleado,30,0,5,14,65,38
2024-01-03,Miércoles,1,2024,0,0,Almuerzo,12,16,Hamburguesa Clásica,Hamburguesas,33,12.0,396.0,Delivery,No,Ninguna,0,Soleado,30,0,5,14,60,30
2024-01-03,Miércoles,1,2024,0,0,Almuerzo,12,16,Jugo Natural,Bebidas,13,6.0,78.0,Delivery,No,Ninguna,0,Soleado,30,0,5,5,50,26
2024-01-03,Miércoles,1,2024,0,0,Cena,18,22,Pizza Personal,Pizzas,14,13.0,182.0,Web,No,Ninguna,0,Soleado,30,0,6,21,40,42
2024-01-03,Miércoles,1,2024,0,0,Cena,18,22,Hamburguesa BBQ,Hamburguesas,16,16.0,256.0,Delivery,No,Ninguna,0,Soleado,30,0,6,10,22,57
2024-01-03,Miércoles,1,2024,0,0,Cena,18,22,Pizza Familiar,Pizzas,16,32.0,409.6,Web,Sí,Combo,20,Soleado,30,0,6,23,42,59
2024-01-03,Miércoles,1,2024,0,0,Cena,18,22,Alitas BBQ,Pollos,18,20.0,360.0,Delivery,No,Ninguna,0,Soleado,30,0,6,17,42,63
2024-01-04,Jueves,1,2024,0,0,Desayuno,7,11,Jugo Natural,Bebidas,14,6.0,84.0,Presencial,No,Ninguna,0,Soleado,24,0,2,4,54,22
2024-01-04,Jueves,1,2024,0,0,Desayuno,7,11,Sándwich de Pollo,Sándwiches,5,11.0,55.0,Presencial,No,Ninguna,0,Soleado,24,0,2,10,30,10
2024-01-04,Jueves,1,2024,0,0,Desayuno,7,11,Cheeseburger,Hamburguesas,8,14.0,112.0,Presencial,No,Ninguna,0,Soleado,24,0,2,14,36,24
2024-01-04,Jueves,1,2024,0,0,Desayuno,7,11,Hamburguesa Clásica,Hamburguesas,15,12.0,180.0,Presencial,No,Ninguna,0,Soleado,24,0,2,8,46,12
2024-01-04,Jueves,1,2024,0,0,Desayuno,7,11,Gaseosa,Bebidas,15,4.0,60.0,Presencial,No,Ninguna,0,Soleado,24,0,2,2,32,17
2024-01-04,Jueves,1,2024,0,0,Almuerzo,12,16,Gaseosa,Bebidas,32,4.0,128.0,Presencial,No,Ninguna,0,Soleado,24,0,5,2,53,37
2024-01-04,Jueves,1,2024,0,0,Almuerzo,12,16,Pizza Personal,Pizzas,27,13.0,351.0,Presencial,No,Ninguna,0,Soleado,24,0,5,15,49,32
2024-01-04,Jueves,1,2024,0,0,Almuerzo,12,16,Pollo Broaster,Pollos,48,18.0,864.0,Presencial,No,Ninguna,0,Soleado,24,0,5,20,72,28
2024-01-04,Jueves,1,2024,0,0,Almuerzo,12,16,Salchipapa Clásica,Salchipapas,29,10.0,290.0,Delivery,No,Ninguna,0,Soleado,24,0,5,15,62,39
2024-01-04,Jueves,1,2024,0,0,Cena,18,22,Cheeseburger,Hamburguesas,17,14.0,238.0,Delivery,No,Ninguna,0,Soleado,24,0,6,13,31,56
2024-01-04,Jueves,1,2024,0,0,Cena,18,22,Alitas BBQ,Pollos,23,20.0,460.0,Presencial,No,Ninguna,0,Soleado,24,0,6,15,40,50
2024-01-04,Jueves,1,2024,0,0,Cena,18,22,Hamburguesa Clásica,Hamburguesas,26,12.0,312.0,Presencial,No,Ninguna,0,Soleado,24,0,6,11,44,62
2024-01-04,Jueves,1,2024,0,0,Cena,18,22,Pizza Personal,Pizzas,21,13.0,204.75,Web,Sí,Descuento,25,Soleado,24,0,6,20,35,70
2024-01-05,Viernes,1,2024,0,0,Desayuno,7,11,Salchipapa Clásica,Salchipapas,15,10.0,150.0,Presencial,No,Ninguna,0,Nublado,24,0,3,10,46,10
2024-01-05,Viernes,1,2024,0,0,Desayuno,7,11,Gaseosa,Bebidas,21,4.0,84.0,Web,No,Ninguna,0,Nublado,24,0,3,2,41,14
2024-01-05,Viernes,1,2024,0,0,Desayuno,7,11,Hamburguesa Clásica,Hamburguesas,12,12.0,144.0,Presencial,No,Ninguna,0,Nublado,24,0,3,10,23,14
2024-01-05,Viernes,1,2024,0,0,Desayuno,7,11,Cheeseburger,Hamburguesas,9,14.0,126.0,Presencial,No,Ninguna,0,Nublado,24,0,3,14,27,20
2024-01-05,Viernes,1,2024,0,0,Desayuno,7,11,Alitas BBQ,Pollos,13,20.0,260.0,Presencial,No,Ninguna,0,Nublado,24,0,3,17,25,12
2024-01-05,Viernes,1,2024,0,0,Desayuno,7,11,Jugo Natural,Bebidas,8,6.0,48.0,Presencial,No,Ninguna,0,Nublado,24,0,3,3,52,11
2024-01-05,Viernes,1,2024,0,0,Almuerzo,12,16,Alitas BBQ,Pollos,37,20.0,740.0,Presencial,No,Ninguna,0,Nublado,24,0,5,18,54,28
2024-01-05,Viernes,1,2024,0,0,Almuerzo,12,16,Hamburguesa Clásica,Hamburguesas,39,12.0,468.0,Presencial,No,Ninguna,0,Nublado,24,0,5,8,66,31
2024-01-05,Viernes,1,2024,0,0,Almuerzo,12,16,Hamburguesa BBQ,Hamburguesas,32,16.0,512.0,Delivery,No,Ninguna,0,Nublado,24,0,5,8,48,44
2024-01-05,Viernes,1,2024,0,0,Almuerzo,12,16,Cheeseburger,Hamburguesas,23,14.0,322.0,Presencial,No,Ninguna,0,Nublado,24,0,5,11,58,36
2024-01-05,Viernes,1,2024,0,0,Almuerzo,12,16,Pollo Broaster,Pollos,38,18.0,684.0,Delivery,No,Ninguna,0,Nublado,24,0,5,16,62,39
2024-01-05,Viernes,1,2024,0,0,Cena,18,22,Gaseosa,Bebidas,37,4.0,148.0,Presencial,No,Ninguna,0,Nublado,24,0,5,5,73,42
2024-01-05,Viernes,1,2024,0,0,Cena,18,22,Alitas BBQ,Pollos,25,20.0,425.0,Delivery,Sí,Descuento,15,Nublado,24,0,5,16,47,58
2024-01-05,Viernes,1,2024,0,0,Cena,18,22,Salchipapa Especial,Salchipapas,35,15.0,472.5,Delivery,Sí,Descuento,10,Nublado,24,0,5,15,60,54
2024-01-05,Viernes,1,2024,0,0,Cena,18,22,Pizza Personal,Pizzas,17,13.0,221.0,Web,No,Ninguna,0,Nublado,24,0,5,18,31,54
2024-01-05,Viernes,1,2024,0,0,Cena,18,22,Hamburguesa BBQ,Hamburguesas,23,16.0,368.0,Delivery,No,Ninguna,0,Nublado,24,0,5,13,45,51
2024-01-06,Sábado,1,2024,1,0,Desayuno,7,11,Jugo Natural,Bebidas,18,6.0,108.0,Delivery,No,Ninguna,0,Soleado,30,0,4,4,39,31
2024-01-06,Sábado,1,2024,1,0,Desayuno,7,11,Sándwich de Pollo,Sándwiches,10,11.0,110.0,Presencial,No,Ninguna,0,Soleado,30,0,4,7,23,24
2024-01-06,Sábado,1,2024,1,0,Desayuno,7,11,Gaseosa,Bebidas,23,4.0,73.6,Delivery,Sí,Combo,20,Soleado,30,0,4,4,49,31
2024-01-06,Sábado,1,2024,1,0,Desayuno,7,11,Cheeseburger,Hamburguesas,14,14.0,196.0,Presencial,No,Ninguna,0,Soleado,30,0,4,8,37,28
2024-01-06,Sábado,1,2024,1,0,Almuerzo,12,16,Pollo Broaster,Pollos,29,18.0,522.0,Delivery,No,Ninguna,0,Soleado,30,0,5,16,61,49
2024-01-06,Sábado,1,2024,1,0,Almuerzo,12,16,Salchipapa Especial,Salchipapas,42,15.0,630.0,Delivery,No,Ninguna,0,Soleado,30,0,5,9,52,44
2024-01-06,Sábado,1,2024,1,0,Almuerzo,12,16,Hamburguesa BBQ,Hamburguesas,28,16.0,448.0,Presencial,No,Ninguna,0,Soleado,30,0,5,11,42,46
2024-01-06,Sábado,1,2024,1,0,Almuerzo,12,16,Gaseosa,Bebidas,41,4.0,131.2,Presencial,Sí,Combo,20,Soleado,30,0,5,3,83,50
2024-01-06,Sábado,1,2024,1,0,Almuerzo,12,16,Pizza Familiar,Pizzas,22,32.0,598.4,Presencial,Sí,Combo,15,Soleado,30,0,5,24,56,46
2024-01-06,Sábado,1,2024,1,0,Cena,18,22,Hamburguesa BBQ,Hamburguesas,32,16.0,512.0,Web,No,Ninguna,0,Soleado,30,0,9,8,39,63
2024-01-06,Sábado,1,2024,1,0,Cena,18,22,Hamburguesa Clásica,Hamburguesas,44,12.0,475.2,Delivery,Sí,2x1,10,Soleado,30,0,9,10,54,81
2024-01-06,Sábado,1,2024,1,0,Cena,18,22,Pizza Personal,Pizzas,30,13.0,390.0,Web,No,Ninguna,0,Soleado,30,0,9,21,45,62
2024-01-06,Sábado,1,2024,1,0,Cena,18,22,Jugo Natural,Bebidas,27,6.0,162.0,Presencial,No,Ninguna,0,Soleado,30,0,9,5,77,53
2024-01-07,Domingo,1,2024,1,0,Desayuno,7,11,Jugo Natural,Bebidas,16,6.0,96.0,Presencial,No,Ninguna,0,Soleado,24,0,3,2,44,24
2024-01-07,Domingo,1,2024,1,0,Desayuno,7,11,Pizza Personal,Pizzas,11,13.0,143.0,Presencial,No,Ninguna,0,Soleado,24,0,3,25,35,20
2024-01-07,Domingo,1,2024,1,0,Desayuno,7,11,Gaseosa,Bebidas,21,4.0,84.0,Presencial,No,Ninguna,0,Soleado,24,0,3,2,65,21
2024-01-07,Domingo,1,2024,1,0,Desayuno,7,11,Cheeseburger,Hamburguesas,9,14.0,126.0,Delivery,No,Ninguna,0,Soleado,24,0,3,11,40,21
2024-01-07,Domingo,1,2024,1,0,Almuerzo,12,16,Gaseosa,Bebidas,50,4.0,200.0,Web,No,Ninguna,0,Soleado,24,0,5,4,84,44
2024-01-07,Domingo,1,2024,1,0,Almuerzo,12,16,Salchipapa Clásica,Salchipapas,24,10.0,240.0,Delivery,No,Ninguna,0,Soleado,24,0,5,13,39,52
2024-01-07,Domingo,1,2024,1,0,Almuerzo,12,16,Pollo Broaster,Pollos,42,18.0,756.0,Delivery,No,Ninguna,0,Soleado,24,0,5,15,65,49
2024-01-07,Domingo,1,2024,1,0,Almuerzo,12,16,Hamburguesa Clásica,Hamburguesas,33,12.0,396.0,Presencial,No,Ninguna,0,Soleado,24,0,5,11,50,42
2024-01-07,Domingo,1,2024,1,0,Cena,18,22,Pizza Personal,Pizzas,20,13.0,260.0,Delivery,No,Ninguna,0,Soleado,24,0,6,21,52,58
2024-01-07,Domingo,1,2024,1,0,Cena,18,22,Gaseosa,Bebidas,52,4.0,208.0,Delivery,No,Ninguna,0,Soleado,24,0,6,5,108,48
2024-01-07,Domingo,1,2024,1,0,Cena,18,22,Hamburguesa BBQ,Hamburguesas,29,16.0,348.0,Web,Sí,Combo,25,Soleado,24,0,6,12,36,66
2024-01-07,Domingo,1,2024,1,0,Cena,18,22,Sándwich de Pollo,Sándwiches,26,11.0,286.0,Web,No,Ninguna,0,Soleado,24,0,6,6,55,67
2024-01-07,Domingo,1,2024,1,0,Cena,18,22,Pizza Familiar,Pizzas,17,32.0,544.0,Presencial,No,Ninguna,0,Soleado,24,0,6,20,33,50
2024-01-07,Domingo,1,2024,1,0,Cena,18,22,Jugo Natural,Bebidas,29,6.0,174.0,Delivery,No,Ninguna,0,Soleado,24,0,6,3,49,55
2024-01-08,Lunes,1,2024,0,0,Desayuno,7,11,Sándwich de Pollo,Sándwiches,8,11.0,88.0,Delivery,No,Ninguna,0,Soleado,29,0,3,9,43,24
2024-01-08,Lunes,1,2024,0,0,Desayuno,7,11,Alitas BBQ,Pollos,9,20.0,180.0,Presencial,No,Ninguna,0,Soleado,29,0,3,16,20,19
2024-01-08,Lunes,1,2024,0,0,Desayuno,7,11,Jugo Natural,Bebidas,9,6.0,54.0,Presencial,No,Ninguna,0,Soleado,29,0,3,4,68,25
2024-01-08,Lunes,1,2024,0,0,Desayuno,7,11,Cheeseburger,Hamburguesas,8,14.0,112.0,Presencial,No,Ninguna,0,Soleado,29,0,3,13,14,22
2024-01-08,Lunes,1,2024,0,0,Desayuno,7,11,Gaseosa,Bebidas,8,4.0,32.0,Delivery,No,Ninguna,0,Soleado,29,0,3,3,63,25
2024-01-08,Lunes,1,2024,0,0,Almuerzo,12,16,Hamburguesa Clásica,Hamburguesas,23,12.0,276.0,Delivery,No,Ninguna,0,Soleado,29,0,5,12,39,45
2024-01-08,Lunes,1,2024,0,0,Almuerzo,12,16,Alitas BBQ,Pollos,20,20.0,400.0,Web,No,Ninguna,0,Soleado,29,0,5,15,29,27
2024-01-08,Lunes,1,2024,0,0,Almuerzo,12,16,Cheeseburger,Hamburguesas,11,14.0,154.0,Presencial,No,Ninguna,0,Soleado,29,0,5,11,46,36
2024-01-08,Lunes,1,2024,0,0,Almuerzo,12,16,Hamburguesa BBQ,Hamburguesas,20,16.0,320.0,Delivery,No,Ninguna,0,Soleado,29,0,5,14,55,35
2024-01-08,Lunes,1,2024,0,0,Cena,18,22,Hamburguesa Clásica,Hamburguesas,21,12.0,252.0,Delivery,No,Ninguna,0,Soleado,29,0,8,10,47,65
2024-01-08,Lunes,1,2024,0,0,Cena,18,22,Gaseosa,Bebidas,26,4.0,104.0,Delivery,No,Ninguna,0,Soleado,29,0,8,2,80,48
2024-01-08,Lunes,1,2024,0,0,Cena,18,22,Pollo Broaster,Pollos,30,18.0,540.0,Delivery,No,Ninguna,0,Soleado,29,0,8,19,64,57
2024-01-08,Lunes,1,2024,0,0,Cena,18,22,Salchipapa Clásica,Salchipapas,17,10.0,170.0,Delivery,No,Ninguna,0,Soleado,29,0,8,9,29,60
2024-01-09,Martes,1,2024,0,0,Desayuno,7,11,Jugo Natural,Bebidas,12,6.0,72.0,Delivery,No,Ninguna,0,Nublado,19,0,4,5,44,14
2024-01-09,Martes,1,2024,0,0,Desayuno,7,11,Salchipapa Especial,Salchipapas,21,15.0,236.25,Delivery,Sí,Combo,25,Nublado,19,0,4,13,27,27
2024-01-09,Martes,1,2024,0,0,Desayuno,7,11,Hamburguesa Clásica,Hamburguesas,9,12.0,108.0,Delivery,No,Ninguna,0,Nublado,19,0,4,13,33,16
2024-01-09,Martes,1,2024,0,0,Desayuno,7,11,Gaseosa,Bebidas,14,4.0,56.0,Presencial,No,Ninguna,0,Nublado,19,0,4,3,33,11
2024-01-09,Martes,1,2024,0,0,Almuerzo,12,16,Salchipapa Clásica,Salchipapas,24,10.0,240.0,Web,No,Ninguna,0,Nublado,19,0,4,9,50,29
2024-01-09,Martes,1,2024,0,0,Almuerzo,12,16,Hamburguesa BBQ,Hamburguesas,23,16.0,368.0,Presencial,No,Ninguna,0,Nublado,19,0,4,10,28,29
2024-01-09,Martes,1,2024,0,0,Almuerzo,12,16,Pizza Personal,Pizzas,17,13.0,221.0,Presencial,No,Ninguna,0,Nublado,19,0,4,16,37,26
2024-01-09,Martes,1,2024,0,0,Almuerzo,12,16,Hamburguesa Clásica,Hamburguesas,20,12.0,240.0,Presencial,No,Ninguna,0,Nublado,19,0,4,12,26,36
2024-01-09,Martes,1,2024,0,0,Almuerzo,12,16,Alitas BBQ,Pollos,23,20.0,460.0,Presencial,No,Ninguna,0,Nublado,19,0,4,19,55,41
2024-01-09,Martes,1,2024,0,0,Cena,18,22,Hamburguesa Clásica,Hamburguesas,19,12.0,228.0,Presencial,No,Ninguna,0,Nublado,19,0,4,12,46,44
2024-01-09,Martes,1,2024,0,0,Cena,18,22,Salchipapa Especial,Salchipapas,22,15.0,330.0,Delivery,No,Ninguna,0,Nublado,19,0,4,9,52,59
2024-01-09,Martes,1,2024,0,0,Cena,18,22,Salchipapa Clásica,Salchipapas,25,10.0,250.0,Delivery,No,Ninguna,0,Nublado,19,0,4,11,43,60
2024-01-09,Martes,1,2024,0,0,Cena,18,22,Pizza Familiar,Pizzas,15,32.0,480.0,Delivery,No,Ninguna,0,Nublado,19,0,4,16,30,47
2024-01-10,Miércoles,1,2024,0,0,Desayuno,7,11,Sándwich de Pollo,Sándwiches,9,11.0,99.0,Delivery,No,Ninguna,0,Soleado,27,0,2,10,31,21
2024-01-10,Miércoles,1,2024,0,0,Desayuno,7,11,Alitas BBQ,Pollos,7,20.0,140.0,Presencial,No,Ninguna,0,Soleado,27,0,2,12,42,13
2024-01-10,Miércoles,1,2024,0,0,Desayuno,7,11,Jugo Natural,Bebidas,11,6.0,66.0,Presencial,No,Ninguna,0,Soleado,27,0,2,5,40,19
2024-01-10,Miércoles,1,2024,0,0,Desayuno,7,11,Hamburguesa BBQ,Hamburguesas,8,16.0,128.0,Delivery,No,Ninguna,0,Soleado,27,0,2,12,20,21
2024-01-10,Miércoles,1,2024,0,0,Almuerzo,12,16,Pizza Personal,Pizzas,14,13.0,182.0,Presencial,No,Ninguna,0,Soleado,27,0,4,20,30,33
2024-01-10,Miércoles,1,2024,0,0,Almuerzo,12,16,Pizza Familiar,Pizzas,19,32.0,456.0,Delivery,Sí,Descuento,25,Soleado,27,0,4,22,34,30
2024-01-10,Miércoles,1,2024,0,0,Almuerzo,12,16,Cheeseburger,Hamburguesas,25,14.0,350.0,Delivery,No,Ninguna,0,Soleado,27,0,4,8,58,34
2024-01-10,Miércoles,1,2024,0,0,Almuerzo,12,16,Gaseosa,Bebidas,43,4.0,154.8,Presencial,Sí,Combo,10,Soleado,27,0,4,5,75,31
2024-01-10,Miércoles,1,2024,0,0,Almuerzo,12,16,Salchipapa Clásica,Salchipapas,24,10.0,240.0,Presencial,No,Ninguna,0,Soleado,27,0,4,15,45,41
2024-01-10,Miércoles,1,2024,0,0,Cena,18,22,Pizza Familiar,Pizzas,15,32.0,480.0,Delivery,No,Ninguna,0,Soleado,27,0,5,21,37,64
2024-01-10,Miércoles,1,2024,0,0,Cena,18,22,Salchipapa Especial,Salchipapas,27,15.0,405.0,Delivery,No,Ninguna,0,Soleado,27,0,5,14,59,56
2024-01-10,Miércoles,1,2024,0,0,Cena,18,22,Hamburguesa Clásica,Hamburguesas,27,12.0,324.0,Presencial,No,Ninguna,0,Soleado,27,0,5,13,52,53
2024-01-10,Miércoles,1,2024,0,0,Cena,18,22,Hamburguesa BBQ,Hamburguesas,25,16.0,400.0,Delivery,No,Ninguna,0,Soleado,27,0,5,13,59,43
2024-01-10,Miércoles,1,2024,0,0,Cena,18,22,Alitas BBQ,Pollos,17,20.0,340.0,Web,No,Ninguna,0,Soleado,27,0,5,20,24,53
2024-01-11,Jueves,1,2024,0,0,Desayuno,7,11,Sándwich de Pollo,Sándwiches,8,11.0,88.0,Presencial,No,Ninguna,0,Soleado,27,0,2,7,37,21
2024-01-11,Jueves,1,2024,0,0,Desayuno,7,11,Salchipapa Clásica,Salchipapas,13,10.0,130.0,Presencial,No,Ninguna,0,Soleado,27,0,2,15,39,12
2024-01-11,Jueves,1,2024,0,0,Desayuno,7,11,Jugo Natural,Bebidas,11,6.0,66.0,Delivery,No,Ninguna,0,Soleado,27,0,2,2,56,20
2024-01-11,Jueves,1,2024,0,0,Desayuno,7,11,Hamburguesa Clásica,Hamburguesas,13,12.0,156.0,Presencial,No,Ninguna,0,Soleado,27,0,2,8,27,19
2024-01-11,Jueves,1,2024,0,0,Desayuno,7,11,Cheeseburger,Hamburguesas,10,14.0,140.0,Presencial,No,Ninguna,0,Soleado,27,0,2,11,33,11
2024-01-11,Jueves,1,2024,0,0,Almuerzo,12,16,Alitas BBQ,Pollos,30,20.0,600.0,Presencial,No,Ninguna,0,Soleado,27,0,6,13,51,41
2024-01-11,Jueves,1,2024,0,0,Almuerzo,12,16,Sándwich de Pollo,Sándwiches,21,11.0,231.0,Presencial,No,Ninguna,0,Soleado,27,0,6,10,45,26
2024-01-11,Jueves,1,2024,0,0,Almuerzo,12,16,Gaseosa,Bebidas,35,4.0,140.0,Web,No,Ninguna,0,Soleado,27,0,6,2,90,36
2024-01-11,Jueves,1,2024,0,0,Almuerzo,12,16,Cheeseburger,Hamburguesas,23,14.0,322.0,Presencial,No,Ninguna,0,Soleado,27,0,6,10,51,27
2024-01-11,Jueves,1,2024,0,0,Almuerzo,12,16,Salchipapa Clásica,Salchipapas,22,10.0,220.0,Web,No,Ninguna,0,Soleado,27,0,6,10,56,44
2024-01-11,Jueves,1,2024,0,0,Cena,18,22,Jugo Natural,Bebidas,21,6.0,126.0,Delivery,No,Ninguna,0,Soleado,27,0,4,2,77,52
2024-01-11,Jueves,1,2024,0,0,Cena,18,22,Hamburguesa Clásica,Hamburguesas,25,12.0,300.0,Delivery,No,Ninguna,0,Soleado,27,0,4,9,40,56
2024-01-11,Jueves,1,2024,0,0,Cena,18,22,Alitas BBQ,Pollos,16,20.0,320.0,Presencial,No,Ninguna,0,Soleado,27,0,4,20,45,55
2024-01-11,Jueves,1,2024,0,0,Cena,18,22,Gaseosa,Bebidas,28,4.0,112.0,Web,No,Ninguna,0,Soleado,27,0,4,3,81,63
2024-01-12,Viernes,1,2024,0,0,Desayuno,7,11,Cheeseburger,Hamburguesas,12,14.0,168.0,Delivery,No,Ninguna,0,Soleado,25,0,2,14,31,17
2024-01-12,Viernes,1,2024,0,0,Desayuno,7,11,Gaseosa,Bebidas,23,4.0,92.0,Presencial,No,Ninguna,0,Soleado,25,0,2,3,61,17
